_id,brand,name,material,type,sizes,price,images,description,link,__v,saleprice,sizesa,sizesis
662bdc81218b3d9a13eff0c7,Transition,Patrol NX,Alloy,Enduro / All Mountain,"[""S"",""M"",""L"",""XL""]",5799,"[""bike-images/PatrolAlloyNX_Red_list (1)"",""bike-images/Patrol_Alloy_NX_Grey_list (1)""]","Being one of the longest standing bikes in our lineup, it was the obvious choice to mix it up. Updated geometry to accommodate the 29"" front / 27.5"" rear wheels and revised suspension tune might just make you ride all day, and then all night. Jibbing, jumping, pumping and hooting your way down the trail, the updated Patrol loves to party. From bike parks to your local trails, the Patrol isn't concerned with where you ride but rather how much fun you are having.",https://www.transitionbikes.com/Bikes_Patrol.cfm,0,3499,"[""S"",""M"",""L"",""XL""]","[""M""]"
662bdd62218b3d9a13eff0cc,Transition,Patrol GX,Alloy,Enduro / All Mountain,"[""S"",""M"",""L"",""XL""]",7599,"[""bike-images/Webstore_2023_PatrolAlloyGx_MoonShadow"",""bike-images/Webstore_2023_PatrolAlloyGx_BonfireRed""]","Being one of the longest standing bikes in our lineup, it was the obvious choice to mix it up. Updated geometry to accommodate the 29"" front / 27.5"" rear wheels and revised suspension tune might just make you ride all day, and then all night. Jibbing, jumping, pumping and hooting your way down the trail, the updated Patrol loves to party. From bike parks to your local trails, the Patrol isn't concerned with where you ride but rather how much fun you are having.",https://www.transitionbikes.com/Bikes_Patrol.cfm,0,4799,"[""S"",""M"",""XL""]",[]
662bdddd218b3d9a13eff0cf,Transition,Patrol XO AXS,Carbon,Enduro / All Mountain,"[""S"",""M"",""L"",""XL""]",11499,"[""bike-images/2023_AdminProductImage_PatrolCarbon_XOAXS_Red"",""bike-images/2023_AdminProductImage_PatrolCarbon_XOAXS_Gray""]","Being one of the longest standing bikes in our lineup, it was the obvious choice to mix it up. Updated geometry to accommodate the 29"" front / 27.5"" rear wheels and revised suspension tune might just make you ride all day, and then all night. Jibbing, jumping, pumping and hooting your way down the trail, the updated Patrol loves to party. From bike parks to your local trails, the Patrol isn't concerned with where you ride but rather how much fun you are having.",https://www.transitionbikes.com/Bikes_Patrol.cfm,0,7999,"[""S"",""M"",""L"",""XL""]",[]
663a4cda5372bbae09e1cda7,Norco,"Sight A2 29""",Alloy,Enduro / All Mountain,"[""1"",""2"",""3"",""4"",""5""]",5049,"[""bike-images/my24-sight-a2-29-orange-yellow-main-full""]","Whether you’re carving down a steep loam line, dropping in for an enduro stage, or heading into the backcountry for an all-day epic, this bike performs. With increased rearward axle path, idler, and the innovative VPSHP suspension layout, this new design gives the Sight next level confidence and capability, up or down the mountain. With 160/150mm of travel, the 2024 Sight takes the best of the Range platform and has tightened it up into a light, pedal friendly, maneuverable, high-pivot package.",https://www.norco.com/bikes/mountain/all-mountain/sight/2024-sight-A2/,0,3799,"[""3""]","[""3""]"
6644dde1d93036231f5622fc,Norco,Sight A3 Sram/Shimano,Alloy,Enduro / All Mountain,"[""S"",""M"",""L"",""XL""]",4499,"[""bike-images/23_sight_a3_sram_grey_grey-main-full"",""bike-images/23_sight_a3_sram_blue_black-main-full""]","The Sight A3 SRAM boosts your All-Mountain confidence with incredible descending capability, adept, sure-footed climbing, and efficient pedaling.",https://www.norco.com/bikes/mountain/all-mountain/2023-sight/2023-sight-A3-sram/,0,2999,"[""S"",""M"",""L"",""XL""]","[""S"",""M"",""L"",""XL""]"
6644dfee5ff678e9edeaadc5,Norco,Fluid FS A3,Alloy,Trail,"[""S"",""M"",""L"",""XL""]",2499,"[""bike-images/my22_vboty_fluid_fs_3_grey_silver_tp-full"",""bike-images/my22_vboty_fluid_fs_3_blue_silver_tp-full""]","Named Pinkbike’s Value Bike of the Year and Vital MTB’s Bike of the Year, the Norco Fluid FS is built to help you become the rider you want to be.",https://www.norco.com/bikes/mountain/trail/fluid-fs/fluid-fs-a3/,0,,"[""S"",""M"",""L"",""XL""]",[]
664cd55156b6f63c729f8625,Norco,Rampage 1,Alloy,Dirt Jumper,"[""S"",""M"",""L""]",1899,"[""bike-images/2022_rampage_1_26_black_chrome-main-full_001""]",The Rampage 1 is the ultimate evolution in Dirt Jumpers with a light frame that gets up to speed fast with the perfect mix of agility and stability.,https://www.norco.com/bikes/mountain/dirt-jump/rampage/2023-rampage-1/,0,1499,"[""S"",""M"",""L""]",[]
664cd68956b6f63c729f862d,Transition,Spire XO AXS,Carbon,Enduro / All Mountain,"[""S"",""M"",""L"",""XL"",""XXL""]",9499,"[""bike-images/spirex0bl"",""bike-images/spirex0b""]","The Spire blends DH bike capability with mid-travel efficiency in such a way it's almost two bikes in one. A delicately tuned pedaling and pumping platform, super supple beginning stroke sensitivity and all the travel you could ask for makes for a mind bending ride. Happily climb up to your favorite challenging descent, then cruise on over to your local flow trail and you'll be rewarded on both ends of the spectrum. Don't be fooled though, while it's no one-trick pony, the Spire lives to push your limits. Get in-Spired.",https://www.transitionbikes.com/Bikes_Spire.cfm,0,8099,"[""S"",""M"",""L"",""XL"",""XXL""]",[]
664cd77656b6f63c729f8630,Transition,Spire NX,Alloy,Enduro / All Mountain,"[""S"",""M"",""L"",""XL"",""XXL""]",5199,"[""bike-images/Spire_Alloy_NX_HOB_List"",""bike-images/Spire_Alloy_NX_FadeBlack_List""]","The Spire blends DH bike capability with mid-travel efficiency in such a way it's almost two bikes in one. A delicately tuned pedaling and pumping platform, super supple beginning stroke sensitivity and all the travel you could ask for makes for a mind bending ride. Happily climb up to your favorite challenging descent, then cruise on over to your local flow trail and you'll be rewarded on both ends of the spectrum. Don't be fooled though, while it's no one-trick pony, the Spire lives to push your limits. Get in-Spired.",https://www.transitionbikes.com/Bikes_Spire.cfm,0,4099,"[""S"",""M"",""L"",""XL"",""XXL""]",[]
66539d8ab8c68e0d4053e0cd,Transition,Sentinel AXS,Carbon,Enduro / All Mountain,"[""S"",""M"",""L"",""XL"",""XXL""]",10699,"[""bike-images/2211-008_Edited"",""bike-images/2211-009_Edited""]","It's forgiving do-it-all attitude truly blurs the lines between planted bottomless sender and playful poppy trail pony. Whether you're chasing EWS dreams or just a weekend afternoon escape, it will bring out the best in you. So easy to get acquainted with you'll find yourself sending lines, jumps and maneuvers you always felt were beyond your ability. Where before you went around, now you go over. Where you pushed up, now you pedal. Where you rolled, now you boost.",https://transitionbikes.com/Bikes_Sentinel.cfm,0,6099,"[""XXL""]",[]
6653a73aae32ffb41d17ae9c,Transition,Relay NX,Alloy,E-Bike,"[""XS"",""S"",""M"",""L"",""XL"",""XXL""]",9199,"[""bike-images/RelayNXAlloyOxide_List (1)"",""bike-images/RelayNXAlloyBlue_List (1)""]","Living in uncharted territory, the Relay is a lightweight, long travel, modular mountain bike.\n\nWe have always wanted a bike that could provide both an electric and non-electric experience in one chassis. The Relay is light, efficient, and quiet. This provides a more intuitive and natural feel on trail than many would expect from an eMTB. The Relay is here and ready to meet all of your mountain biking needs. Going for a rip with friends on eMTB's? Power it up and head out. Going for a rip with some friends on mountain bikes? Simply remove the battery and hit the trail with no tools required. The Relay does it all.",https://transitionbikes.com/Bikes_Relay.cfm,0,6499,"[""M"",""L"",""XL"",""XXL""]",[]
